ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
364,Amad,Man Utd,54,Midfielder,5.0,1.86,36,Brentford (H),0.009,0.008,0.017,0.062,0.012
366,B.Fernandes,Man Utd,173,Midfielder,8.2,5.25,88,Brentford (H),0.174,0.265,0.393,0.357,0.202
369,Dalot,Man Utd,173,Defender,5.1,4.01,90,Brentford (H),0.06,0.091,0.146,0.357,0.069
370,Eriksen,Man Utd,58,Midfielder,5.4,2.54,61,Brentford (H),0.121,0.13,0.235,0.357,0.136
372,Garnacho,Man Utd,10,Midfielder,6.3,2.93,55,Brentford (H),0.227,0.165,0.354,0.357,0.275
374,Heaton,Man Utd,241,Goalkeeper,4.0,0.0,0,Brentford (H),0.0,0.0,0.0,0.0,0.0
375,Højlund,Man Utd,58,Forward,6.9,2.86,57,Brentford (H),0.33,0.101,0.397,0.357,0.43
376,Lindelof,Man Utd,206,Defender,4.3,0.0,0,Brentford (H),0.0,0.0,0.0,0.0,0.0
378,Mainoo,Man Utd,241,Midfielder,5.2,1.79,58,Brentford (H),0.091,0.082,0.166,0.357,0.101
379,Malacia,Man Utd,152,Defender,4.4,0.0,0,Brentford (H),0.0,0.0,0.0,0.0,0.0
380,Martinez,Man Utd,10,Defender,4.5,2.98,66,Brentford (H),0.048,0.05,0.095,0.357,0.055
383,Onana,Man Utd,38,Goalkeeper,5.0,3.76,90,Brentford (H),0.0,0.0,0.0,0.357,0.0
385,Rashford,Man Utd,241,Midfielder,6.9,3.03,61,Brentford (H),0.259,0.139,0.362,0.357,0.321
386,Sancho,Chelsea,241,Midfielder,6.4,3.6,72,Liverpool (A),0.182,0.157,0.31,0.104,0.221
387,Shaw,Man Utd,241,Defender,4.9,0.02,11,Brentford (H),0.0,0.0,0.0,0.0,0.0
388,Wan-Bissaka,West Ham,241,Defender,4.5,2.35,90,Spurs (A),0.042,0.088,0.126,0.104,0.048
389,Zirkzee,Man Utd,152,Forward,6.8,1.97,33,Brentford (H),0.027,0.023,0.049,0.176,0.034
390,A.Murphy,Newcastle,104,Defender,4.0,0.0,0,Brighton (H),0.0,0.0,0.0,0.0,0.0
392,Barnes,Newcastle,241,Midfielder,6.5,4.87,67,Brighton (H),0.238,0.167,0.365,0.268,0.29
394,Bruno G.,Newcastle,30,Midfielder,6.3,4.15,90,Brighton (H),0.121,0.11,0.218,0.268,0.138
395,Burn,Newcastle,241,Defender,4.4,4.04,90,Brighton (H),0.056,0.043,0.096,0.268,0.064
398,Gordon,Newcastle,241,Midfielder,7.3,5.96,90,Brighton (H),0.26,0.152,0.372,0.268,0.326
399,Hall,Newcastle,241,Defender,4.3,3.44,68,Brighton (H),0.104,0.083,0.179,0.268,0.115
401,Isak,Newcastle,206,Forward,8.3,3.17,44,Brighton (H),0.084,0.035,0.116,0.064,0.112
403,Joelinton,Newcastle,30,Midfielder,6.0,4.04,87,Brighton (H),0.022,0.009,0.031,0.268,0.026
409,Livramento,Newcastle,241,Defender,4.5,1.2,45,Brighton (H),0.016,0.019,0.035,0.05,0.018
411,Miley,Newcastle,241,Midfielder,5.0,0.0,0,Brighton (H),0.0,0.0,0.0,0.0,0.0
413,Pope,Newcastle,241,Goalkeeper,5.0,4.04,90,Brighton (H),0.0,0.0,0.0,0.268,0.0
414,Ruddy,Newcastle,241,Goalkeeper,4.0,0.0,0,Brighton (H),0.0,0.0,0.0,0.0,0.0
415,Schär,Newcastle,207,Defender,5.4,3.9,90,Brighton (H),0.111,0.059,0.163,0.286,0.123
417,Tonali,Newcastle,106,Midfielder,5.5,1.7,46,Brighton (H),0.139,0.119,0.241,0.268,0.161
418,Trippier,Newcastle,241,Defender,5.7,1.48,45,Brighton (H),0.064,0.185,0.237,0.268,0.072
420,Willock,Newcastle,241,Midfielder,4.8,1.65,27,Brighton (H),0.017,0.029,0.045,0.036,0.019
421,Wilson,Newcastle,241,Forward,6.9,0.69,12,Brighton (H),0.136,0.071,0.197,0.114,0.199
422,Aina,Nott'm Forest,157,Defender,4.5,3.24,90,Crystal Palace (H),0.047,0.04,0.085,0.312,0.06
423,Anderson,Nott'm Forest,241,Midfielder,5.0,3.02,70,Crystal Palace (H),0.094,0.077,0.164,0.279,0.104
430,Dennis,Nott'm Forest,157,Forward,4.9,0.0,0,Crystal Palace (H),0.0,0.0,0.0,0.0,0.0
432,Elanga,Nott'm Forest,206,Midfielder,5.2,2.13,41,Crystal Palace (H),0.158,0.152,0.286,0.312,0.183
433,Gibbs-White,Nott'm Forest,241,Midfielder,6.3,3.32,65,Crystal Palace (H),0.158,0.146,0.28,0.312,0.183
434,Hudson-Odoi,Nott'm Forest,241,Midfielder,5.4,3.89,75,Crystal Palace (H),0.158,0.095,0.237,0.312,0.183
436,Murillo,Nott'm Forest,30,Defender,4.5,3.35,90,Crystal Palace (H),0.041,0.055,0.094,0.312,0.059
442,Sangaré,Nott'm Forest,54,Midfielder,4.4,0.0,0,Crystal Palace (H),0.0,0.0,0.0,0.0,0.0
443,Sels,Nott'm Forest,21,Goalkeeper,4.5,3.62,90,Crystal Palace (H),0.047,0.04,0.085,0.312,0.06
447,Wood,Nott'm Forest,154,Forward,6.2,6.02,84,Crystal Palace (H),0.218,0.056,0.262,0.312,0.269
451,Amo-Ameyaw,Southampton,241,Midfielder,4.5,0.0,0,Leicester (H),0.006,0.005,0.011,0.032,0.007
453,Armstrong,Southampton,241,Forward,5.3,0.48,14,Leicester (H),0.027,0.023,0.05,0.15,0.035
455,Bednarek,Southampton,172,Defender,4.0,3.33,90,Leicester (H),0.048,0.042,0.088,0.268,0.062
461,Harwood-Bellis,Southampton,241,Defender,4.0,3.73,90,Leicester (H),0.048,0.042,0.088,0.268,0.062
462,Kamaldeen,Southampton,81,Midfielder,5.0,0.0,0,Leicester (H),0.0,0.0,0.0,0.0,0.0
463,Lallana,Southampton,241,Midfielder,5.0,1.26,28,Leicester (H),0.015,0.007,0.022,0.057,0.018
466,Lumley,Southampton,241,Goalkeeper,4.0,0.0,0,Leicester (H),0.0,0.0,0.0,0.0,0.0
470,Onuachu,Southampton,157,Forward,4.9,0.08,4,Leicester (H),0.0,0.0,0.0,0.0,0.0
471,Smallbone,Southampton,104,Midfielder,5.0,1.36,36,Leicester (H),0.017,0.015,0.032,0.096,0.022
473,Stewart,Southampton,243,Forward,4.6,1.49,26,Leicester (H),0.017,0.015,0.031,0.093,0.022
474,Sugawara,Southampton,108,Defender,4.5,3.9,90,Leicester (H),0.048,0.042,0.088,0.268,0.062
475,Taylor,Southampton,241,Defender,4.0,1.08,45,Leicester (H),0.042,0.063,0.102,0.268,0.048
477,Wood,Southampton,241,Defender,4.0,0.0,0,Leicester (H),0.0,0.0,0.0,0.0,0.0
479,Austin,Spurs,241,Goalkeeper,4.0,0.0,0,West Ham (H),0.0,0.0,0.0,0.0,0.0
480,Bentancur,Spurs,230,Midfielder,5.0,3.16,78,West Ham (H),0.135,0.135,0.252,0.312,0.153
481,Bergvall,Spurs,206,Midfielder,4.5,0.08,7,West Ham (H),0.009,0.008,0.016,0.05,0.011
491,Johnson,Spurs,244,Midfielder,6.5,5.1,79,West Ham (H),0.271,0.176,0.399,0.312,0.331
492,Kulusevski,Spurs,206,Midfielder,6.2,5.19,89,West Ham (H),0.203,0.195,0.359,0.312,0.246
494,Maddison,Spurs,241,Midfielder,7.5,5.72,83,West Ham (H),0.203,0.22,0.378,0.312,0.246
495,Pedro Porro,Spurs,200,Defender,5.5,4.36,90,West Ham (H),0.135,0.203,0.311,0.312,0.153
498,Romero,Spurs,10,Defender,5.1,4.43,90,West Ham (H),0.08,0.039,0.116,0.312,0.09
503,Son,Spurs,114,Midfielder,9.9,1.79,22,West Ham (H),0.259,0.145,0.367,0.204,0.334
505,Udogie,Spurs,106,Defender,4.9,3.77,78,West Ham (H),0.104,0.124,0.215,0.312,0.115
506,Van de Ven,Spurs,152,Defender,4.6,3.55,90,West Ham (H),0.06,0.079,0.134,0.312,0.086
508,Vicario,Spurs,106,Goalkeeper,5.0,3.72,90,West Ham (H),0.056,0.048,0.101,0.312,0.071
509,Werner,Spurs,80,Midfielder,6.2,4.02,68,West Ham (H),0.056,0.048,0.101,0.312,0.071
510,Whiteman,Spurs,241,Goalkeeper,4.0,0.0,0,West Ham (H),0.0,0.0,0.0,0.0,0.0
512,Antonio,West Ham,107,Forward,5.4,2.6,60,Spurs (A),0.218,0.088,0.287,0.104,0.266
513,Areola,West Ham,73,Goalkeeper,4.5,3.14,90,Spurs (A),0.0,0.0,0.0,0.104,0.0
514,Bowen,West Ham,241,Midfielder,7.4,4.75,90,Spurs (A),0.246,0.163,0.369,0.104,0.311
517,Cresswell,West Ham,241,Defender,4.0,0.01,11,Spurs (A),0.008,0.015,0.023,0.021,0.01
521,Fabianski,West Ham,172,Goalkeeper,4.0,0.0,0,Spurs (A),0.005,0.005,0.01,0.012,0.007
523,Ings,West Ham,241,Forward,5.0,0.14,4,Spurs (A),0.016,0.0,0.017,0.007,0.021
524,Kilman,West Ham,241,Defender,4.5,2.33,90,Spurs (A),0.059,0.035,0.092,0.104,0.067
525,Kudus,West Ham,81,Midfielder,6.3,3.58,78,Spurs (A),0.202,0.157,0.327,0.104,0.246
527,L.Paquetá,West Ham,30,Midfielder,5.9,3.48,82,Spurs (A),0.107,0.107,0.203,0.104,0.128
528,Mavropanos,West Ham,83,Defender,4.5,0.0,10,Spurs (A),0.027,0.023,0.049,0.062,0.034
530,Souček,West Ham,57,Midfielder,5.0,3.23,68,Spurs (A),0.141,0.071,0.202,0.104,0.168
531,Ward-Prowse,Nott'm Forest,241,Midfielder,6.2,0.0,0,Crystal Palace (H),0.118,0.105,0.211,0.312,0.131
533,Aït-Nouri,Wolves,3,Defender,4.4,3.03,85,Man City (H),0.075,0.089,0.157,0.094,0.083
535,Bellegarde,Wolves,73,Midfielder,5.0,1.55,52,Man City (H),0.026,0.022,0.048,0.094,0.033
536,Bentley,Wolves,241,Goalkeeper,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
539,Chiwome,Wolves,-1,Forward,4.5,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
540,Cundle,Wolves,241,Midfielder,4.5,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
541,Cunha,Wolves,30,Forward,6.5,4.99,90,Man City (H),0.116,0.052,0.162,0.094,0.143
554,José Sá,Wolves,173,Goalkeeper,4.4,0.0,0,Man City (H),0.0,0.0,0.0,0.056,0.0
556,King,Wolves,244,Goalkeeper,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
557,Mario Jr.,Wolves,77,Midfielder,5.0,3.08,90,Man City (H),0.089,0.047,0.132,0.094,0.1
558,Mosquera,Wolves,48,Defender,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
559,N.Semedo,Wolves,173,Defender,4.5,2.1,84,Man City (H),0.029,0.037,0.066,0.094,0.034
561,Pedro Lima,Wolves,30,Defender,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
566,Strand Larsen,Wolves,161,Forward,5.5,3.9,84,Man City (H),0.038,0.033,0.07,0.094,0.049
567,Toti,Wolves,173,Defender,4.3,2.23,90,Man City (H),0.055,0.043,0.096,0.094,0.062
568,Muric,Ipswich,286,Goalkeeper,4.4,3.95,90,Everton (H),0.0,0.0,0.0,0.276,0.0
569,Jaden,Aston Villa,241,Midfielder,5.3,1.55,44,Fulham (A),0.047,0.04,0.085,0.234,0.06
571,Sávio,Man City,30,Midfielder,6.5,2.02,38,Wolves (A),0.03,0.026,0.055,0.227,0.038
573,Milenković,Nott'm Forest,190,Defender,4.5,3.41,85,Crystal Palace (H),0.047,0.04,0.085,0.312,0.06
578,Calafiori,Arsenal,106,Defender,5.8,1.08,27,Bournemouth (A),0.053,0.046,0.097,0.357,0.068
589,Füllkrug,West Ham,80,Forward,6.7,0.14,6,Spurs (A),0.01,0.009,0.019,0.024,0.013
590,Osula,Newcastle,58,Forward,5.0,0.03,2,Brighton (H),0.0,0.0,0.0,0.0,0.0
593,De Ligt,Man Utd,152,Defender,5.0,3.93,76,Brentford (H),0.054,0.047,0.098,0.357,0.069
